zip_code_tabulation_area	B24091_001E
04555	37049
04556	41087
04558	31875
04562	47326
04563	35469
04564	55000
04568	51429
04570	-666666666
04571	26802
04572	40977
04573	41823
04574	41321
04575	-666666666
04576	47188
04578	41000
04579	49773
04605	40523
04606	37321
04607	41953
04609	51942
04611	51875
04612	44583
04613	41250
04614	40678
04616	29205
04617	45855
04619	41301
04622	36136
04623	33309
04624	-666666666
04625	37500
04626	47500
04627	44000
04628	36591
04629	-666666666
04630	32794
04631	33611
04634	31875
04635	51000
04637	31250
04640	37151
04642	47500
04643	31000
04644	-666666666
04645	-666666666
04646	69375
04648	36750
04649	30769
04650	45875
04652	36591
04653	32083
04654	40133
04655	38447
04657	35417
04658	33750
04660	51591
04662	44261
04664	34438
04666	46731
04667	38571
04668	43221
04669	63000
04671	53750
04673	50625
04674	45691
04675	31641
04676	39338
04677	38438
04679	40139
04680	31719
04681	36667
04683	-666666666
04684	45964
04685	48500
04686	37917
04691	58636
04693	37614
04694	46000
04730	36589
04732	36895
04733	50000
04734	32303
04735	38250
04736	38252
04739	43889
04740	36012
04741	-666666666
04742	40548
04743	42234
04745	44444
04746	52813
04747	41438
04750	40053
04756	50792
04757	41820
04758	35986
04760	35595
04761	35938
04762	32262
04763	31750
04764	29375
04765	41055
04766	31964
04768	38000
04769	36641
04772	54063
04773	33036
04774	40250
04776	38750
04777	32375
04779	30417
04780	38281
04781	32396
04783	44722
04785	41425
04786	35250
04787	36417
04841	36318
04843	46136
04847	39800
04848	42708
04849	47313
04851	35625
04852	67500
04853	45481
04854	43942
04855	91071
04856	45645
04858	35833
04859	40765
04860	38920
04861	42128
04862	37788
04863	44485
04864	37164
04901	40357
04910	36289
04911	34981
04912	38125
04915	40841
04917	52813
04918	45667
04920	33988
04921	33191
04922	37500
04923	30375
04924	36156
04925	43750
04926	-666666666
04927	40512
04928	44663
04929	50000
04930	39231
04932	40819
04933	-666666666
04936	33125
04937	40100
04938	36907
04939	35991
04940	-666666666
04941	37898
04942	32069
04943	30038
04944	-666666666
04945	41534
04947	40694
04949	36063
04950	36467
04951	45240
04952	37895
04953	48031
04955	32204
04956	33523
04957	40078
04958	30197
04961	36667
04962	30577
04963	45861
04964	31875
04965	36667
04966	33684
04967	39348
04969	36875
04970	39423
04971	37113
04973	40759
04974	50901
04975	-666666666
04976	38510
04978	52143
04979	32829
04981	40219
04982	39861
04983	46875
04984	36964
04985	-666666666
04986	35980
04987	34226
04988	39091
04989	43939
04992	32500
05001	46457
05031	58942
05032	38914
05033	41537
05034	67625
05035	35500
05036	45052
05037	39938
05038	39700
05039	45000
05040	41667
05041	28617
05042	47692
05043	49896
05045	49600
05046	39211
05048	50198
05050	32813
05051	42337
05052	24958
05053	54850
05055	65282
05056	32083
05058	57344
05059	46667
05060	44098
05061	41355
05062	46938
05065	45000
05067	59531
05068	44635
05069	52500
05070	54125
05071	52054
05072	47109
05075	62188
05076	52159
05077	41842
05079	42167
05081	41429
05083	34375
05084	58125
05086	40313
05089	41083
05091	52546
05101	36302
05141	35781
05142	42788
05143	40766
05146	34135
05148	42477
05149	42366
05150	33125
05151	51555
05152	57167
05153	37500
05154	35938
05155	45179
05156	38632
05158	42917
05161	45750
05201	36140
05250	43196
05251	53320
05252	44821
05253	51458
